leader,control_number,control_number_identifier,last_transaction,fixed_fields,lccn,isbn,system_control_numbers,cataloging_source,authentication_code,loc_classification,author,title,statement_of_responsibility,publication_place,publisher,publication_date,extent,other_physical_details,dimensions,series,bibliography_note,contents,citations,summary,target_audience,subjects,series_added_entry,electronic_location,library_location,barcode,call_number,cost,copy_number,holdings_extra,local_audience,local_grade_level,local_date,local_sources,local_vendor
02127pam a2200469 a 4500,38729,WSD,20130717221835.0,070312s2008    mnuab  j b    001 0 eng  ,  2007010509,1429601647,(109)D2958B3220A84208951A98481A99ABD4; (ICrlF)fol11507609; (ICrlF)15927U; (IlMchFSD)1372085580:22505,DLC; DLC; DLC,,E450 .L34 2008,"Lassieur, Allison.",The Underground Railroad : an interactive history adventure /,by Allison Lassieur.,"Mankato, Minn",Capstone Press,2008,112 p.,"ill. (some col.), col. map",20 cm,You choose books,Includes bibliographical references and index.,About your adventure -- The slavery question -- Running to freedom -- Slave catcher: on the hunt -- The abolitionist's story -- The end of the Underground Railroad -- Time line -- Other paths to explore.,"Horn Book, April 2008.; Multicultural Review, December 2007.","Describes the history of the Underground Railroad, revealing historical details through the perspectives of a slave, a slave catcher, and someone helping slaves escape to freedom.",6.6.; 5-8.; 620.; 620,Underground Railroad.; Fugitive slaves; Abolitionists; Slavery,You choose books.,Table of contents only: http://www.loc.gov/catdir/toc/ecip0713/2007010509.html; Table of contents only: http://www.loc.gov/catdir/toc/ecip0713/2007010509.html,WMS,30290000719261,973.7 Las,21.99USD,1,,6.6,5-8,04/05/10,,FLR
02011pam a2200457 a 4500,48325,WSD,20130717221950.0,030121s2004    njua   c b    001 0beng  ,  2003001283,0766021777,(402)376371BB68B64DF485507E059C452C48; (ICrlF)fol08831794; (ICrlF)22600P; (IlMchFSD)1371846611:11222,DLC; DLC; DLC,pcc,QC774.F4 S78 2004,"Stux, Erica.",Enrico Fermi : trailblazer in nuclear physics /,Erica Stux.,"Berkeley Heights, NJ",Enslow Publishers,2004,128 p.,ill.,24 cm,Nobel Prize-winning scientists,Includes bibliographical references (p. 125) and index.,What's inside an atom? -- Early years -- Preparing for a career -- Bringing modern physics to Italy -- Experiments on atomic nuclei -- Momentous changes -- The war effort -- Chicago and Los Alamos -- After the war -- Fermi's legacy.,"Horn Book, October 2004.; Science Books & Films (A.A.A.S.), May 2004.","Tells the life story of Nobel Prize-winning physicist Enrico Fermi, describing his childhood in Italy, his work with atomic energy, and his scientific legacy.",7.1.; 5-8,Nuclear physicists; Nuclear physicists.; Scientists.; Nobel Prizes,Nobel Prize-winning scientists.,,WMS,30290001402487,921 FER,18.86USD,1,,7.1,5-8,04/21/05,,FLR
02132pam a2200469 a 4500,51715,WSD,20130717223414.0,060210s2006    nyua   b bk   001 0beng  ,  2006004578,0791092135,(402)E4C0DC97F00C4C1CA7320C0D399BB8D8; (ICrlF)fol11092177; (ICrlF)18368S; (IlMchFSD)1371846611:13855,DLC; DLC; DLC,pcc,ML420.M3313 P37 2006,"Paprocki, Sherry.",Bob Marley : musician /,Sherry Beck Paprocki.,New York,Chelsea House,2006,111 p.,ill. (some col.),24 cm,Black Americans of achievement. Legacy edition,"Includes bibliographical references (p. 104), discography (p. 101), and index.",Celebrating a musical legend -- The garden parish -- Surviving in Trench Town -- Too hot -- The Rasta influence -- Free to sing -- Dancing in the spirit -- The legend lives on.,"Wilson's Junior High School, January 2010.; Horn Book, April 2007.","Examines the life and achivements of Jamaican reggae musician Bob Marley, discussing his childhood, career, influences, death, and reputation.",7.3.; 5-8,Reggae musicians; Reggae musicians.; Blacks,Black Americans of achievement.,Table of contents: http://www.loc.gov/catdir/toc/ecip068/2006004578.html; Table of contents: http://www.loc.gov/catdir/toc/ecip068/2006004578.html,WMS,30290001442269,921 MAR,29.96USD,1,,7.3,5-8,02/17/10,,FLR
02128pam a2200445 a 4500,52768,WSD,20141002150902.0,101119s2011    mnua   c b    001 0 eng  ,  2010044664,1617148091,(ICrlF)fol13465285; (ICrlF)0236DK; (IlMchFSD)1371846611:14630,DLC; DLC; ICrlF,,HD9993.E454 N573 2011,"Firestone, Mary,",Nintendo : the company and its founders /,by Mary Firestone.,"Edina, Minn",ABDO Pub,2011,112 p.,ill. (some col.),24 cm,Technology pioneers,Includes bibliographical references (p. 104-109) and index.,Welcoming the Wii -- Playing cards -- Hiroshi Yamauchi rules -- New technology -- Nintendo branches out -- Enter Shigeru Miyamoto -- Donkey kong arrives -- Bringing video games home -- Nintendo of America expands -- The sky is not the limit.,"Horn Book, October 2011.","Traces the history of Nintendo, describing the background and accomplishments of the company's founder and other key individuals, and discussing technological advancements, successes, competition, and other related topics.",8.9.; 5-8,Electronic games industry; Electronic games industry; Electronic games industry.,Technology pioneers.,View cover image from Davidson Titles: http://www.davidsontitles.com/bookcovers/9/7/8/1/6/1/7/1/4/8/0/9/5/9781617148095.jpg,WMS,30290001448753,338.7 FIR,24.00USD,1,,8.9,5-8,03/26/12,,FLR
02063pam a2200481 a 4500,52989,WSD,20130717224733.0,111117s2012    mnua   c b    001 0deng  ,  2011045750,1617833312,(ICrlF)fol13981720; (ICrlF)0246ZY; (IlMchFSD)1371846611:14791,DLC; DLC; ICrlF,pcc,HD9696.2.U64 L87 2012,"Lüsted, Marcia Amidon.","Apple : the company and its visionary founder, Steve Jobs /",by Marcia Amidon Lusted.,"Minneapolis, MN",ABDO Pub,2012,112 p.,ill. (some col.),24 cm,Technology pioneers,Includes bibliographical references (p. 104-109) and index.,What you need before you need it -- Steve Jobs -- The birth of Apple -- From a garage to the world -- Growing pains -- Apple's next step -- Back to Apple -- The age of iTunes -- In the palm of your hand -- Looking to the future.,,Discusses the history of the Apple computer company from its beginning in 1976 by Steve Jobs and Steve Wozniak to becoming one of the largest technology companies in the world.,8.6.; 5-8; 4-8,Computer industry; Businesspeople; Success in business; Computer industry.; Businesspeople.; Success in business.,Technology pioneers.,,WMS,30290002304534,338.7 LUS,23.95USD,1,,8.6,5-8,05/09/12,,FLR
01772pam a2200409 a 4500,81165,WSD,20130717223420.0,090917s2010    mnua   c b    001 0beng  ,  2009038872,0761357629,(ICrlF)fol12815427; (ICrlF)15812G; (IlMchFSD)1372086117:16154,DLC; DLC; ICrlF,,ML3930.J25 K76 2010,"Krohn, Katherine E.",Michael Jackson : ultimate music legend /,Katherine Krohn.,"Minneapolis, MN",Lerner Publications,2010,48 p.,ill. (some col.),24 cm,Gateway biographies,Includes bibliographical references (p. 43-45) and index.,Life on Jackson Street -- Climb Every Mountain -- Amateur night -- The Jackson 5 -- Flying solo -- Humanitarian -- Ups and downs -- Final curtain call.,"School Library Journal, May 2010.; Booklist, June 2010.","Offers a brief overview of the life and career of singer Michael Jackson, discussing his performances with his brothers in The Jackson 5, his solo albums, his controversial actions, and his untimely death in 2009.",6.6.; 3-6; 860,Rock musicians; African Americans,Gateway biographies (Lerner Publications Company),,WMS,30290000718057,921 Jac,21.28USD,1,,6.6,3-6,07/28/10,,FLR
01850cam a2200397 a 4500,81386,WSD,20130717221946.0,030529s2004    njuab  c b    001 0 eng  ,  2003012112,0766051862,(304)B5538A12983111D8907CEA7C1A29645B; (ICrlF)fol08977218; (ICrlF)01658P; (IlMchFSD)1372086117:12339,DLC; DLC; DLC,lcac,E459 .I45 2004,"Imbriaco, Alison.",Causes of the Civil War : a MyReportlinks.com book /,Alison Imbriaco.,"Berkeley Heights, NJ",MyReportLinks.com Books,2004,48 p.,"ill. (some col.), col. maps",24 cm,American Civil War,Includes bibliographical references (p. 47) and index.,"The Civil War begins -- North and South: two cultures, 1607-1790 -- Cotton, 1790-1818 -- Years of compromise, 1819-1854 -- The end of peace, 1854-1860.",,"Reviews the causes of the Civil War, beginning with the settlers who arrived in Jamestown, Virginia, in 1607 not planning to own slaves, although thousands were already working in the New World. Includes Internet links to Web sites related to the Civil War.",6.6.; 5-8,Slavery,"American Civil War (Berkeley Heights, N.J.)",Table of contents: http://www.loc.gov/catdir/toc/ecip044/2003012112.html,WMS,30290001402362,973.7 IMB,17.96USD,1,,6.6,5-8,04/14/04,,FLR
01770pam a2200397 a 4500,81642,WSD,20130717222204.0,030312s2004    cauab  c b    001 0 eng  ,  2003005757,1590183169,(304)AF4F64C3293847FD83A288BFF21803A7; (ICrlF)fol08884431; (ICrlF)24010P; (IlMchFSD)1372086117:12868,DLC; DLC; KyLxBWI,pcc,DG89 .N39 2004,"Nardo, Don,",The Roman army : instrument of power /,Don Nardo.,Detroit,Thomson/Gale,2004,112 p.,"ill., maps",24 cm,Lucent library of historical eras,Includes bibliographical references (p. 102-107) and index.,Rome's early enemies and expansion -- Undisputed masters of Italy -- Rome against Carthage: round one -- Rome against Carthage: round two -- Roman armies overrun Greece -- Julius Caesar conquers Gaul -- Rome's early imperial conquests -- Epilogue: the Roman army's decline.,,"Presents an investigation of the Roman army and its role in the expansion of the Roman Empire, discussing how the military changed over the years in appearance, fighting techniques, and effectiveness.",7.1.; 5-8; 1262,,Lucent library of historical eras.,,WMS,30290001408070,937 NAR,22.96USD,1,,7.1,5-8,11/03/05,,FLR
02203pam a2200409 a 4500,81960,WSD,20130717222518.0,051128s2006    iluab  j b    001 0 eng  ,  2005034638,1410922774,(304)F9F28D3EF332400CB6A865F98023E5CD; (ICrlF)fol11025161; (ICrlF)28301S; (IlMchFSD)1372086117:13689,DLC; DLC; DLC,pcc,GC221.5 T69 2006,"Townsend, John,",The Asian tsunami 2004 : a huge wave kills thousands /,John Townsend.,Chicago,Raintree,2006,56 p.,"col. ill., col. maps",25 cm,When disaster struck,Includes bibliographical references (p. 54) and index.,A huge wave kills thousands: Far below the sea -- When the wave struck: Just another day -- What was known? -- The first signs -- On the beaches -- The first casualties: The damage in Indonesia -- The waves reach Thailand -- The waves reach Sri Lanka -- The damage in India and the Maldives -- Survivors: Amazing escapes -- Days at sea -- Steve's story -- Under the rubble -- The world responds: To the rescue -- A race against time -- Within weeks -- Months later -- Children of the tsunami: A disaster of the young -- Orphans of the waves -- Found -- The cost of the disaster: How much? -- Paying the price -- A knock-on effect -- Timeline.,"Library Media Connection, March 2007.","Chronicles the events surrounding the 2004 tsunami that devastated parts of Southeast Asia, and contains a timeline and glossary.",6.1.; 5-8,"Indian Ocean Tsunami, 2004.; Tsunamis",When disaster struck.,Table of contents: http://www.loc.gov/catdir/toc/ecip064/2005034638.html,WMS,30290001416859,909 TOW,22.96USD,1,,6.1,5-8,03/12/07,,FLR
01876pam a2200409 a 4500,82011,WSD,20130717222534.0,060207s2007    mnuab  j b    001 0 eng  ,  2006004416,075652010X,(304)B24EA085400A4529B03D86B4C53AFF20; (ICrlF)fol11082526; (ICrlF)21474S; (IlMchFSD)1372086117:13776,DLC; DLC; DLC,,E860 .A64 2007,"Anderson, Dale,",Watergate : scandal in the White House /,by Dale Anderson.,"Minneapolis, MN",Compass Point Books,2007,96 p.,"ill. (some col.), col. map",24 cm,Snapshots in history,Includes bibliographical references (p. 93) and index.,Break-in and arrests -- Nixon and politics -- The 1972 campaign -- Digging up the story -- New facts come out -- Committee hearings and court proceedings -- Nixon's fall -- After Watergate.,,"Examines the Watergate scandal of 1972, when White House insiders broke into the Democratic National Committee's offices, discussing President Nixon's involvement, committee hearings and court proceedings, and the president's resignation.",7.2.; 5-8; 1030,"Watergate Affair, 1972-1974",Snapshots in history.,Table of contents: http://www.loc.gov/catdir/toc/ecip068/2006004416.html,WMS,30290001417816,973.924 AND,23.95USD,1,,7.2,5-8,03/12/07,,FLR
02021pam a2200457 a 4500,82040,WSD,20130717222548.0,060316s2007    mnuab  j b    001 0 eng  ,  2006009119,0756521017,(304)43D4D278C1184733B87B8B377052E09F; (ICrlF)fol11116596; (ICrlF)21280T; (IlMchFSD)1372086117:13901,DLC; DLC; DLC,pcc,HV636 2005.L8 P35 2007,"Palser, Barb.",Hurricane Katrina : aftermath of disaster /,by Barb Palser.,"Minneapolis, MN",Compass Point Books,2007,96 p.,"ill. (chiefly col.), col. map",24 cm,Snapshots in history,Includes bibliographical references (p. 93) and index.,Shelter of last resort -- Gambling against nature -- Landfall -- Days of chaos -- Help at last -- No place like home -- Tragedy's toll -- Rebirth.,"Booklist, December 2006.; Voice of Youth Advocates (V.O.Y.A.), June 2007.","Examines the August 2005 hurricane that hit the Gulf Coast of the United States, discussing the evacuation of cities, destruction, and rescue and relief efforts; and provides a time line of events, related Web sites, and a glossary.",7.7.; 5-8; 1050,"Hurricane Katrina, 2005.; Hurricanes.; Disaster relief.",Snapshots in history.,Table of contents only: http://www.loc.gov/catdir/toc/ecip0610/2006009119.html,WMS,30290001419291,976 PAL,23.95USD,1,,7.7,5-8,05/31/07,,FLR
01972pam a2200445 a 4500,82042,WSD,20130717222549.0,060130s2007    mnuab  j b    001 0deng  ,  2006003005,075652007X,(304)D8A478F35D814DEFB6EE56A5EF32A2F8; (ICrlF)fol11082008; (ICrlF)18065S; (IlMchFSD)1372086117:13906,DLC; DLC; DLC,,E743.5 .F48 2007,"Fitzgerald, Brian,",McCarthyism : the Red Scare /,by Brian Fitzgerald.,"Minneapolis, MN",Compass Point Books,2007,96 p.,"ill. (some col.), col. map",24 cm,Snapshots in history,Includes bibliographical references (p. 93) and index.,Red alert -- The rise of communism -- The Cold War and containment -- McCarthy grabs the spotlight -- The atomic age -- The McCarthy committee -- The fall of McCarthy -- Aftermath and lessons.,"School Library Journal, February 2007.","Examines McCarthyism, the anticommunist crusade that swept America in the late 1940s and 1950s, discussing its origin, how it operated, and its effect on American society.",7.9.; 5-8; 1040,Anti-communist movements; Legislators; Cold war.,Snapshots in history.,Table of contents: http://www.loc.gov/catdir/toc/ecip068/2006003005.html,WMS,30290001419341,973.921 FIT,23.95USD,1,,7.9,5-8,05/31/07,,FLR
02003pam a2200421 a 4500,82282,WSD,20130717222756.0,070314s2008    nyuab  j b    001 0 eng  ,  2007010931,1404219250,(304)84A0C97DE2624D3289014A902DE8D02A; (ICrlF)fol11498708; (ICrlF)22417T; (IlMchFSD)1372086117:14392,DLC; DLC; DLC,,QC981.8.G56 R62 2008,"Robinson, Matthew,",America debates global warming : crisis or myth? /,Matthew Robinson.,New York,Rosen Central,2008,64 p.,"col. ill., col. map",25 cm,America debates,Includes bibliographical references (p. 59-61) and index.,What is global warming? -- Is global warming happening now? -- Can human beings cause global warming? -- What is the possible impact of global warming? -- Can anything be done about global warming? -- Timeline -- Glossary.,"School Library Journal, February 2008.; Library Media Connection, February 2008.","Discusses the debate over the causes of global warming, presenting the different arguments regarding whether humans have caused it, and also covers global warming's possible impact and whether anything can be done about it.",8.0.; 5-8; 1143,Global warming.,America debates.,Table of contents only: http://www.loc.gov/catdir/toc/ecip0713/2007010931.html,WMS,30290001424465,363.738 ROB,21.95USD,1,,8.0,5-8,06/17/08,,FLR
01762pam a2200433 a 4500,82445,WSD,20130717222913.0,051014s2006    mnuab  c b    001 0beng  ,  2005030061,0756515904,(304)326051A0F26D4BAC823D4E6D979FE717; (ICrlF)fol10989948; (ICrlF)25803R; (IlMchFSD)1372086117:14674,DLC; DLC; DLC,pcc,QL31.G58 .H38 2006,"Haugen, Brenda.",Jane Goodall : legendary primatologist /,by Brenda Haugen.,"Minneapolis, MN",Compass Point Books,2006,112 p.,"ill. (some col.), col. maps",24 cm,Signature lives,Includes bibliographical references (p. 108) and index.,A welcome thief -- A curious child -- Africa bound -- Gombe at last -- Amazing discoveries -- A new partnership -- Disturbing discoveries -- Professor Goodall -- Making life better for chimps everywhere -- Continuing to spread the word.,,"A biography of primatologist Jane Goodall describing her childhood in England, education and early interest in conservation, and extensive research with chimpanzees.",6.9.; 5-8; 1040,Scientists; Zoologists; Women,Signature lives.,,WMS,30290001427401,921 GOO,25.95USD,1,,6.9,5-8,10/20/08,,FLR
02251pam a2200469 a 4500,82926,WSD,20130717223418.0,060817s2007    mnuab  j b    001 0 eng  ,  2006027084,0756524520,(ICrlF)fol11284580; (ICrlF)14658T; (IlMchFSD)1372086117:16146,DLC; DLC; DLC,,E98.R3 S784 2007,"Stewart, Mark,",The Indian Removal Act : forced relocation /,by Mark Stewart.,Minneapolis,Compass Point Books,2007,96 p.,"ill. (some col.), col. maps",24 cm,Snapshots in history,Includes bibliographical references (p. 93) and index.,The trail where they cried -- Cultures in contact -- A new nation -- Land exchange -- A swift removal -- A matter for the courts -- Leaving the land -- Living in the West.,"Wilson's Junior High School, January 2010.; Booklist, May 2007.; Multicultural Review, June 2007.","Profiles the ""Trail of Tears,"" the forced removal of five Southeastern Native American tribes to land west of the Mississippi River during the winter of 1838 and 1839.",8.5.; 5-8,Native Americans; Forced migration; Land tenure,Snapshots in history.,Table of contents only: http://www.loc.gov/catdir/toc/ecip0619/2006027084.html,WMS,30290001442509,973.04 STE,25.49USD,1,,8.5,5-8,07/28/10,,FLR
